level_config,time_window,outlier_method,q_exponent,r2,beta,p_value,n_obs,std_err
L20,60,Raw,0.3,0.7701259568884375,0.00019098281718461614,2.5639113807148645e-148,460,4.875572769709482e-06
L20,90,Raw,0.3,0.7680776969903004,0.00018655142525677,1.97227431134947e-99,309,5.850568437387372e-06
L20,90,Abs (100k),0.3,0.7680776969903004,0.00018655142525677,1.97227431134947e-99,309,5.850568437387372e-06
L20,90,Abs (200k),0.3,0.7680776969903004,0.00018655142525677,1.97227431134947e-99,309,5.850568437387372e-06
L10,60,Raw,0.3,0.7659628668611581,0.0003887808956195521,1.567078064843875e-146,460,1.0041780029233046e-05
L10,60,Abs (200k),0.3,0.7659628668611581,0.0003887808956195521,1.567078064843875e-146,460,1.0041780029233046e-05
L10,60,Abs (100k),0.3,0.7659628668611581,0.0003887808956195521,1.567078064843875e-146,460,1.0041780029233046e-05
L2,45,Abs (100k),0.3,0.764512961885821,0.0021512754441316336,1.1857981593897497e-194,615,4.822329259364213e-05
L2,45,Abs (200k),0.3,0.764512961885821,0.0021512754441316336,1.1857981593897497e-194,615,4.822329259364213e-05
L2,45,Raw,0.3,0.764512961885821,0.0021512754441316336,1.1857981593897497e-194,615,4.822329259364213e-05
L3,90,Winsorized,0.3,0.762974808657472,0.0014430876602840972,5.5883451120506486e-98,309,4.590560112674595e-05
L5,90,Abs (200k),0.3,0.7618285874969846,0.0008007023748150056,1.1727591763287272e-97,309,2.5551600713653913e-05
L5,90,Raw,0.3,0.7618285874969846,0.0008007023748150056,1.1727591763287272e-97,309,2.5551600713653913e-05
L5,90,Abs (100k),0.3,0.7618285874969846,0.0008007023748150056,1.1727591763287272e-97,309,2.5551600713653913e-05
L50pct,90,Winsorized,0.3,0.7612663504364446,0.0001633687553996103,1.6848163017052575e-97,309,5.2214162276710426e-06
L20,90,Winsorized,0.3,0.7590927558513129,0.00020085373103953335,6.782320611711767e-97,309,6.4578539990455875e-06
L10,90,Abs (200k),0.3,0.7582412970180747,0.00038024181823857517,1.1663300850881386e-96,309,1.2254004392201051e-05
L10,90,Abs (100k),0.3,0.7582412970180747,0.00038024181823857517,1.1663300850881386e-96,309,1.2254004392201051e-05
L10,90,Raw,0.3,0.7582412970180747,0.00038024181823857517,1.1663300850881386e-96,309,1.2254004392201051e-05
L3,45,Abs (100k),0.3,0.7565285553315655,0.001413150511227459,3.27126024105332e-190,615,3.237945513913116e-05
L3,45,Raw,0.3,0.7565285553315655,0.001413150511227459,3.27126024105332e-190,615,3.237945513913116e-05
L3,45,Abs (200k),0.3,0.7565285553315655,0.001413150511227459,3.27126024105332e-190,615,3.237945513913116e-05
L2,60,Winsorized,0.3,0.7535539898776998,0.0022444852359946852,2.17117633311089e-141,460,5.997741209635575e-05
L5,90,Winsorized,0.3,0.7518226671791844,0.0008492496025285435,6.538544776081857e-95,309,2.7847711642931998e-05
L10,90,Winsorized,0.3,0.7508435471265982,0.00040419457271386995,1.1974316465202363e-94,309,1.3288704169953284e-05
L2,20,Abs (200k),0.3,0.7490200874196286,0.0020927971499007944,0.0,1376,3.2681841410821674e-05
L2,20,Abs (100k),0.3,0.7490200874196286,0.0020927971499007944,0.0,1376,3.2681841410821674e-05
L2,20,Raw,0.3,0.7490200874196286,0.0020927971499007944,0.0,1376,3.2681841410821674e-05
L3,60,Winsorized,0.3,0.7485261675228391,0.0014816688743059551,2.2217821661974984e-139,460,4.012927608014106e-05
L3,20,Raw,0.3,0.7475228463173906,0.0013614492209697918,0.0,1376,2.134552736233068e-05
