time_window,outlier_method,phase,r_squared,beta,p_value,n_obs
60,Pctl (5%-95%),Phase 2 (Middle),0.28828787546196105,3.2505578782004336e-06,1.1316235119190919e-11,138
60,Pctl (5%-95%),Phase 3 (Near Expiry),0.29639201281665845,3.2156338161833373e-06,5.125690814967604e-12,138
90,Raw,Phase 1 (Early),0.14712911463881148,2.926966093880021e-06,6.349197264807183e-05,103
90,Raw,Phase 2 (Middle),0.44342668003137137,2.8270836432709574e-06,1.655886989082788e-14,103
90,Raw,Phase 3 (Near Expiry),0.1588981365089822,6.752499927514446e-07,3.0406579357992225e-05,103
90,IQR (1.5x),Phase 1 (Early),0.1509423163740178,3.154922228941768e-06,0.0001543150188924937,90
90,IQR (1.5x),Phase 2 (Middle),0.41716952818107006,3.8886986572474796e-06,6.246889858426513e-12,90
90,IQR (1.5x),Phase 3 (Near Expiry),0.2944915209811445,3.342355984275811e-06,2.296200632033023e-08,92
90,Pctl (1%-99%),Phase 1 (Early),0.14779853120955946,2.9552182628430325e-06,7.847544353554644e-05,100
90,Pctl (1%-99%),Phase 2 (Middle),0.42012262721281207,3.24907773441583e-06,3.0988360731573033e-13,100
90,Pctl (1%-99%),Phase 3 (Near Expiry),0.3586463011957855,2.059203659989903e-06,3.7122914190350026e-11,101
90,Z-Score (3),Phase 1 (Early),0.14768504268006893,2.9471825681766405e-06,6.673356955840103e-05,102
90,Z-Score (3),Phase 2 (Middle),0.4469970183043385,2.86987116840578e-06,1.6104820974083106e-14,102
90,Z-Score (3),Phase 3 (Near Expiry),0.3827344642902963,2.166831780436724e-06,3.307771848108067e-12,103
90,Winsorized,Phase 1 (Early),0.14712911463881148,2.926966093880021e-06,6.349197264807183e-05,103
90,Winsorized,Phase 2 (Middle),0.44769336019932204,2.876568024904076e-06,1.1175318717574011e-14,103
90,Winsorized,Phase 3 (Near Expiry),0.3458468995986358,2.005901574414927e-06,6.507694799198e-11,103
90,Abs (200k),Phase 1 (Early),0.1594737915303959,3.3481669828623298e-06,8.808367285270352e-05,91
90,Abs (200k),Phase 2 (Middle),0.41043522285466183,4.044958153517809e-06,7.969780231717257e-12,91
90,Abs (200k),Phase 3 (Near Expiry),0.3744529971900007,3.5267272127663557e-06,7.192330085199825e-11,93
90,Abs (100k),Phase 1 (Early),0.09031908933818224,3.7161085272588876e-06,0.009276373100437708,74
90,Abs (100k),Phase 2 (Middle),0.47766093837461904,3.050035009087448e-06,9.381960400854749e-12,74
90,Abs (100k),Phase 3 (Near Expiry),0.29787105316984525,5.1502572915729405e-06,4.930156494987495e-07,74
90,MAD (3),Phase 1 (Early),0.1464679157733057,2.9653863838325147e-06,0.00015307974943940103,93
90,MAD (3),Phase 2 (Middle),0.395268156772876,3.9555105237985715e-06,1.5031812196777868e-11,93
90,MAD (3),Phase 3 (Near Expiry),0.326503627783485,2.9889464450045123e-06,2.2099223430395457e-09,93
90,Pctl (5%-95%),Phase 1 (Early),0.14650580039738717,2.973256183796905e-06,0.0001661670184702992,92
90,Pctl (5%-95%),Phase 2 (Middle),0.38649998078997,3.7808179635956335e-06,3.753986532568667e-11,92
90,Pctl (5%-95%),Phase 3 (Near Expiry),0.36943338234512846,3.530043560920434e-06,1.0412999512054999e-10,93
